Entity,AttributeName,Attribute
东北大学秦皇岛分校,类别,公立大学
东北大学秦皇岛分校,学校类别,公立大学
东北大学秦皇岛分校,主管部门,中华人民共和国教育部
东北林业大学,学校类别,公立大学
东北林业大学,主管部门,中华人民共和国教育部
东北大学东软信息学院,中文名,大连东软信息学院
大庆师范学院,学校类别,公立大学
大庆医学高等专科学校,主管部门,黑龙江省
大庆石油学院,学校类别,公立大学
大连师范专科学校,别名,辽宁师范大学
大连职工大学,学校类别,公立大学
大连民族大学,学校类别,公立大学
对外经济贸易大学,学校类别,公立大学
对外经济贸易大学,主管部门,中华人民共和国教育部
对外经贸大学,中文名,对外经济贸易大学
对外经贸大学,学校类别,公立大学
对外经贸大学,主管部门,中华人民共和国教育部
戴尔国际英语学校,所属地区,中国
德宏师范高等专科学校,学校类别,公立大学
德宏师范高等专科学校,现任校长,邱勇
德宏师范高等专科学校,主管部门,云南省
第一军医大学,学校类别,公立大学
第一军医大学,主管部门,广东省
大夏大学,类别,私立大学
大夏大学,类型,私立大学
复旦大学,学校类别,公立大学
复旦大学,现任校长,许宁生
复旦大学,主管部门,中华人民共和国教育部
福州大学材料科学与工程学院现,学校类型,公立大学
福州大学机械工程及自动化学院,主管部门,福州大学
番禺职业技术学院,主管部门,广东省
福州大学电气工程与自动化学院,主管部门,福州大学
福州大学,学校类别,公立大学
福建中医学院,学校类别,公立大学
福建农林大学,学校类别,公立大学
福建医科大学,学校类别,公立大学
福建农业大学,中文名,福建农林大学
福建农业大学,学校类别,公立大学
福建师范大学,学校类别,公立大学
福建工程学院,学校类别,公立大学
福建集美大学,中文名,集美大学
福建集美大学,学校类别,公立大学
福建集美大学,创办人,陈嘉庚
福建师范大学外国语学院,主管部门,福建师范大学
福建师范大学闽南科技学院,现任校长,张杰
国立第四中山大学,时任校长,张乃燕
福建师范大学文学院,主管部门,福建师范大学
国立第二中山大学,学校类型,大学
国立第二中山大学,学校属性,大学
国立第三中山大学,学校类别,公立大学
国立第一中山大学,别称,国立广东大学
国立第一中山大学,学校类别,公立大学
广州市城建职工大学,学校类别,公立大学
广州市城建职工大学,所属地区,广州市
广东广州大学,主管部门,广东省
广东石油化工学院,学校类别,公立大学
广东石油化工学院,主管部门,广东省
广东外语艺术职业学院,学校类别,公立大学
广州中医药大学,学校类别,公立大学
广州中医药大学,主管部门,广东省
广东广播电视大学,学校类型,教育机构
广东广播电视大学,所属地区,广东省
广东药学院,学校类别,公立大学
广东药学院,主管部门,广东省
广西大学,学校类别,公立大学
甘肃工业大学,学校类别,公立大学
广西师范大学,学校类别,公立大学
甘肃师范大学,学校类别,公立大学
广西民族大学,学校类别,公立大学
广西艺术学院,学校类别,公立大学
广东财经大学,学校类别,公立大学
广东财经大学,主管部门,广东省
贵阳学院,学校类别,公立大学
贵州工业大学,中文名,贵州大学
贵州工业大学,学校类别,公立大学
广东行政职业学院,学校类别,公立大学
华北煤炭医学院,学校类别,公立大学
华北煤炭医学院,学校类型,大学
华北航天工业学院,中文名,北华航天工业学院
华北航天工业学院,学校类别,公立大学
华侨大学,学校类别,公立大学
华北电力大学,学校类别,公立大学
华北电力大学,主管部门,中华人民共和国教育部
华西师范大学,学校类型,大学
华西师范大学,所属地区,中国
哈尔滨体育学院,主管部门,黑龙江省
哈尔滨商业大学,学校类别,公立大学
哈尔滨商业大学,现任校长,郑秋鹛
哈尔滨工程大学,主管部门,中华人民共和国工业和信息化部
哈尔滨师范大学,学校类别,公立大学
哈尔滨师范大学,现任校长,孙立军
哈尔滨师范学院,中文名,哈尔滨师范大学
哈尔滨师范学院,学校类别,公立大学
哈尔滨师范学院,现任校长,孙立军
哈尔滨金融高等专科学校,学校类别,公立大学
哈尔滨金融高等专科学校,主管部门,黑龙江省
河北体育学院,主管部门,河北省
河北交通职业技术学院,学校类别,公立大学
河北交通职业技术学院,主管部门,河北省
杭州电子科技大学,学校类别,公立大学
杭州电子科技大学,主管部门,浙江省
杭州师范大学,学校类别,公立大学
杭州师范大学,主管部门,浙江省
河北医科大学,学校类别,公立大学
河北工程大学,学校类别,公立大学
河北工程大学,主管部门,河北省
河北大学,学校类别,公立大学
河北机电职业技术学院,学校类别,公立大学
河北理工大学,学校类别,公立大学
河北建筑工程学院,学校类别,公立大学
河北建筑工程学院,主管部门,河北省
河北承德石油高等专科学校,中文名,承德石油高等专科学校
河北承德石油高等专科学校,学校类别,公立大学
河北承德石油高等专科学校,主管部门,河北省
河北理工学院,学校类型,大学
河北软件职业技术学院,学校类别,公立大学
河北软件职业技术学院,主管部门,河北省
河北省职工医学院,学校类别,国立大学
河北科技师范学院,学校类别,公立大学
河北科技师范学院,主管部门,河北省
河北电力大学,中文名,华北电力大学
河北电力大学,学校类别,公立大学
河北电力大学,主管部门,中华人民共和国教育部
河南交通职业技术学院,学校类别,公立大学
河南交通职业技术学院,主管部门,河南省
河北石油职业技术学院,学校类别,公立大学
河北石油职业技术学院,主管部门,河北省
河南工业大学,学校类别,公立大学
河南工业大学,主管部门,河南省
河南广播电视大学,学校类别,公立大学
河南教育学院,学校类型,大学
河南财政税务高等专科学校,类型,公立大学
河南质量工程职业学院,学校类别,公立大学
河南质量工程职业学院,主管部门,河南省
河海大学,学校类别,公立大学
河海大学,主管部门,中华人民共和国教育部
河海大学常州校区,类别,公立大学
河海大学常州校区,类型,公立大学
海南软件职业技术学院,学校类别,公立大学
淮海工学院,学校类别,公立大学
淮阴工学院,学校类别,公立大学
淮阴师范学院,学校类别,公立大学
淮阴师范学院,知名校友,祝世宁
淮阴师范学院,主管部门,江苏省
湖北中医药大学,学校类别,公立大学
湖北水利水电职业技术学院,主管部门,湖北省
湖北汽车工业学院,学校类别,公立大学
湖北第二师范学院,学校类别,公立大学
湖北第二师范学院,主管部门,湖北省
湖北美术学院,学校类别,公立大学
湖北美术学院,主管部门,湖北省
湖北职业技术学院,学校类别,公立大学
湖北职业技术学院,主管部门,湖北省
湖南大学,学校类别,公立大学
湖南大学,主管部门,中华人民共和国教育部
湖南师范大学,学校类别,公立大学
湖州师范学院,学校类别,公立大学
衡水学院,学校类别,公立大学
衡水学院,主管部门,河北省
黄冈师范学院,学校类别,公立大学
黄冈师范学院,主管部门,湖北省
黑河学院,学校类别,公立大学
黑河学院,主管部门,黑龙江省
黑龙江中医药大学,学校类别,公立大学
黑龙江中医药大学,主管部门,黑龙江省
哈尔滨市南岗教师进修学校,类别,公立大学
哈尔滨市南岗教师进修学校,类型,公立大学
黑龙江八一农垦大学,学校类别,公立大学
黑龙江八一农垦大学,主管部门,黑龙江省
黑龙江哈尔滨工程大学,中文名,哈尔滨工程大学
黑龙江哈尔滨工程大学,主管部门,中华人民共和国工业和信息化部
哈尔滨理工大学,学校类别,公立大学
哈尔滨理工大学,所属地区,黑龙江省
黑龙江工程学院,学校类别,公立大学
黑龙江工程学院,主管部门,黑龙江省
黑龙江广播电视大学,所属地区,黑龙江省
华中大学,所属地区,湖北省
华中大学,现 名,华中师范大学
九江广播电视大学,学校类型,大学
九江广播电视大学,所属地区,中国
湖北文理学院,学校类别,公立大学
沪江大学,学校类别,私立大学
吉林交通职业技术学院,学校类别,公立大学
吉林交通职业技术学院,主管部门,吉林省
吉林农业科技学院,学校类别,公立大学
吉林农业科技学院,主管部门,吉林省
吉林医药学院,学校类别,公立大学
吉林医药学院,现任校长,蔡建辉
吉林医药学院,主管部门,吉林省
吉林化工学院,学校类别,公立大学
吉林医科大学,学校类别,公立大学
吉林医科大学,主管部门,吉林大学
吉林大学农学部,类别,公立大学
吉林大学珠海校区,所属地区,广东省
吉林大学珠海校区,主管部门,中华人民共和国教育部
吉林大学,学校类别,公立大学
吉林大学,所属地区,吉林省
吉林大学,主管部门,中华人民共和国教育部
吉林工业职业技术学院,主管部门,吉林省
吉林工程技术师范学院,主管部门,吉林省
吉林师范大学,主管部门,吉林省
吉林建筑工程学院,学校类别,公立大学
吉林建筑工程学院,主管部门,吉林省
吉林省经济管理干部学院,主管部门,吉林省
吉林电子信息职业技术学院,学校类型,大学
吉林电子信息职业技术学院,主管部门,吉林省
吉林艺术学院,学校类别,公立大学
嘉兴学院,学校类别,公立大学
嘉兴学院,主管部门,浙江省
晋中师范高等专科学校,学校类别,公立大学
暨南大学,学校类别,公立大学
江南大学,学校类别,公立大学
江南大学,主管部门,中华人民共和国教育部
江苏农林职业技术学院,学校类别,公立大学
江苏南京信息工程大学,学校类别,公立大学
江苏工业学院,学校类别,公立大学
江苏工业学院,主管部门,江苏省
江苏师范大学,学校类别,公立大学
江苏师范大学,主管部门,江苏省
江苏广播电视大学,学校类别,公立大学
江苏建康职业学院,中文名,江苏卫生健康职业学院
江苏建康职业学院,学校类别,公立大学
江苏建康职业学院,主管部门,江苏省
江苏教育学院,现任校长,王建
江苏教育学院,主管部门,江苏省
江苏职工医科大学,中文名,江苏卫生健康职业学院
江苏职工医科大学,学校类别,公立大学
江苏职工医科大学,主管部门,江苏省
江苏科技大学,学校类别,公立大学
江苏科技大学,主管部门,江苏省
江苏警官学院,学校类别,公立大学
江苏警官学院,主管部门,江苏省
江苏苏州职业大学,中文名,苏州市职业大学
江苏苏州职业大学,学校类别,公立大学
江西理工大学,学校类别,公立大学
江西理工大学,所属地区,江西省
江西理工大学,主管部门,江西省
焦作工学院,学校类型,大学
江西行政管理干部学院,学校类别,公立大学
嘉兴学院平湖校区,类型,大学
康定民族师范高等专科学校,学校类别,公立大学
集美大学,学校类别,公立大学
集美大学,创办人,陈嘉庚
金陵大学,学校属性,大学
黑龙江大学,主管部门,黑龙江省
昆明医学院,中文名,昆明医科大学
昆明医学院,学校类别,公立大学
昆明医学院,主管部门,云南省
昆明理工大学,中文名,杜江峰
昆明工业职业技术学院,主管部门,云南省
昆明冶金高等专科学校,学校类别,公立大学
昆明冶金高等专科学校,所属地区,云南省
昆明冶金高等专科学校,主管部门,云南省
临沧师范高等专科学校,主管部门,云南省
丽水学院,学校类别,公立大学
乐山师范学院,别称,乐山师院
乐山师范学院,学校类别,公立大学
丽水职业技术学院,主管部门,浙江省
廊坊师范学院,主管部门,河北省
京桥大学,学校属性,大学
京桥大学,所属地区,北京市
聊城广播电视大学,学校类型,大学
聊城广播电视大学,所属地区,山东省
泸州医学院,学校类别,公立大学
辽宁中医药大学,学校类别,公立大学
辽宁医学院,学校类别,公立大学
辽宁工学院,中文名,辽宁工业大学
辽宁工学院,学校类别,公立大学
辽宁工业大学,学校类别,公立大学
辽宁商贸职业学院,学校类别,公立大学
辽宁大学,学校类别,公立大学
廊坊职业技术学院,学校类别,公立大学
辽宁机电职业技术学院,学校类别,公立大学
辽宁省交通高等专科学校,学校类别,公立大学
辽宁金融职业学院,学校类别,公立大学
辽宁石油化工大学,学校类别,公立大学
辽宁科技大学,学校类别,公立大学
民航学院,中文名,中国民航大学
民航学院,所属地区,天津市
辽源职业技术学院,学校类型,大学
辽源职业技术学院,主管部门,吉林省
牡丹江大学,学校类别,公立大学
满洲里学院,主管部门,内蒙古大学
内蒙古电力学院,学校类别,公立大学
NEUQ,中文名,东北大学秦皇岛分校
NEUQ,类别,公立大学
NEUQ,中文名,东北大学秦皇岛分校
NEUQ,学校类别,公立大学
NEUQ,主管部门,中华人民共和国教育部
绵阳师范学院,学校类别,公立大学
内蒙古自治区广播电视大学,中文名,内蒙古广播电视大学
内蒙古自治区广播电视大学,学校类别,公立大学
南京中医学院,学校类别,公立大学
南京工程学院,学校类别,公立大学
南京工程学院,主管部门,江苏省
南京体育学院,学校类别,公立大学
南京医科大学,学校类别,公立大学
南京医科大学,主管部门,江苏省
南京化工大学,中文名,南京工业大学
南京化工大学,学校类别,公立大学
南京化工大学,主管部门,江苏省
南京工业大学,学校类别,公立大学
南京工业大学,主管部门,江苏省
南京大学,学校类别,公立大学
南京大学,主管部门,中华人民共和国教育部
南京森林公安高等专科学校,学校类别,公立大学
南京财经大学,学校类别,公立大学
南京航空航天大学,学校类别,公立大学
南京航空航天大学,主管部门,中华人民共和国工业和信息化部
南京理工大学,学校类别,公立大学
南京理工大学,现任校长,付梦印
南京理工大学,主管部门,中华人民共和国工业和信息化部
南京艺术学院,学校类别,公立大学
南京艺术学院,主管部门,江苏省
南京邮电大学,学校类别,公立大学
南京邮电大学,主管部门,江苏省
