Entity,AttributeName,Attribute
中山大学东校区图书馆,管理者,中山大学
朱仁宏,民族,汉族
朱仁宏,国籍,中国
中山大学东校区,学校类别,公立大学
中山大学创业学院,学校类别,公立大学
清华大学,学校类别,公立大学
清华大学,现任校长,邱勇
清华大学,主管部门,中华人民共和国教育部
山东大学,学校类别,公立大学
山东大学,主管部门,中华人民共和国教育部
武汉大学,学校类别,公立大学
武汉大学,主管部门,中华人民共和国教育部
上海交通大学,学校类别,公立大学
上海交通大学,现任校长,林忠钦
上海交通大学,主管部门,中华人民共和国教育部
中国海洋大学,学校类别,公立大学
中国海洋大学,主管部门,中华人民共和国教育部
大连理工大学,学校类别,公立大学
大连理工大学,主管部门,中华人民共和国教育部
华中科技大学,学校类别,公立大学
华中科技大学,主管部门,中华人民共和国教育部
哈尔滨工业大学,学校类别,公立大学
华南理工大学,学校类别,公立大学
华南理工大学,主管部门,中华人民共和国教育部
四川大学,学校类别,公立大学
四川大学,主管部门,中华人民共和国教育部
兰州大学,学校类别,公立大学
兰州大学,主管部门,中华人民共和国教育部
东北大学,主管部门,中华人民共和国教育部
西北工业大学,学校类别,公立大学
西北农林科技大学,学校类别,公立大学
西北农林科技大学,主管部门,中华人民共和国教育部
华东师范大学,学校类别,公立大学
华东师范大学,主管部门,中华人民共和国教育部
华东师范大学,党委书记,童世骏
杨孟衡,民族,汉族
杨孟衡,国籍,中国
杨孟衡,毕业院校,中山大学
赵过渡,国籍,中国
赵过渡,毕业院校,中山大学
