SchoolItem1,relation,SchoolItem2
卓仁禧,educated at,复旦大学
周鲠生,employer,武汉大学
武忠弼,educated at,同济大学
常俊标,educated at,中国科学技术大学
戴可来,educated at,北京大学
南京大学金陵学院,parent organization,南京大学
嵇文甫,educated at,北京大学
华东师范大学,replaces,大夏大学
中山大学附属中学,part of,中山大学
费青,employer,北京大学
清华大学,chairperson,邱勇
夏书章,educated at,南京大学
周健,educated at,浙江大学
朱熹平,employer,中山大学
曾汉民,employer,中山大学
朱熹平,educated at,中山大学
许宁生,educated at,中山大学
林保淳,employer,淡江大学
成嘉玲,father,成舍我
李天任,educated at,中国文化大学
淡江大学,has part,淡江大学海事博物馆
成舍我,child,成嘉玲
成舍我,employer,世新大学
成舍我,educated at,北京大学
何严萍,employer,云南大学
何严萍,educated at,云南大学
何严萍,educated at,复旦大学
浙江大学出版社,part of,浙江大学
浙江大学医学院附属邵逸夫医院,affiliation,浙江大学医学部
浙江大学数学科学研究中心,authority,浙江大学
薛安克,educated at,山东大学
王承绪,employer,浙江大学
浙江大学图书馆,parent organization,浙江大学
薛安克,educated at,浙江大学
胡建淼,employer,浙江大学
姒健敏,employer,浙江大学
史晋川,employer,浙江大学
胡建淼,educated at,中国政法大学
苏元复,educated at,浙江大学
史晋川,educated at,复旦大学
林芳华,employer,浙江大学
林芳华,educated at,浙江大学
吴以成,educated at,中国科学技术大学
杜江峰,employer,中国科学技术大学
杜江峰,educated at,中国科学技术大学
潘卓华,employer,浙江大学
潘卓华,educated at,中国科学技术大学
南京师范学院,subsidiary,金陵女子大学
陈凌孚,educated at,北京大学
石广玉,educated at,山东大学
石广玉,educated at,东北大学
中国社会科学研究评价中心,part of,南京大学
周勋初,educated at,南京大学
段进,employer,东南大学
段进,educated at,东南大学
周鸿经,educated at,南京大学
王绳祖,educated at,南京大学
郭斌和,educated at,香港大学
邓正来,educated at,外交学院
陈得芝,educated at,南京大学
申长雨,educated at,大连理工大学
马哲民,employer,武汉大学
张联盟,educated at,东北大学
黄树槐,educated at,武汉大学
张小龙,educated at,华中科技大学
黄树槐,educated at,华中科技大学
朱九思,educated at,武汉大学
武汉水利电力学院,subclass of,武汉大学
范文澜,educated at,北京大学
张泽咸,educated at,武汉大学
龚虹嘉,educated at,华中科技大学
程时杰,educated at,华中科技大学
周福霖,educated at,湖南大学
五老八中,employer,武汉大学
五老八中,educated at,武汉大学
武汉大学新闻与传播学院,part of,武汉大学
武汉大学测绘学院,replaces,武汉测绘科技大学
蔡巍,educated at,华中科技大学
图书情报知识,publisher,武汉大学
潘垣,educated at,武汉大学
刘秉麟,employer,武汉大学
何宪,educated at,华东师范大学
陶凯元,educated at,武汉大学
李工真,employer,武汉大学
何宪,educated at,武汉大学
李工真,educated at,武汉大学
陈剑翛,employer,武汉大学
皮宗石,employer,北京大学
吴式枢,educated at,同济大学
皮宗石,employer,武汉大学
陈海波,educated at,东北大学
史学集刊,publisher,吉林大学
王福生,educated at,蚌埠医学院
林君,educated at,吉林大学
任露泉,educated at,吉林大学
长春汽车拖拉机学院,replaced by,吉林大学
王昺,child,王锐
刘淑莹,educated at,吉林大学
翁占斌,educated at,东北大学
王昺,child,王锐
张俊芳,educated at,华东师范大学
解学智,educated at,中国人民大学
文传源,employer,北京航空航天大学
文传源,educated at,西北工业大学
陈艳,educated at,南京体育学院
